Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
80566286,6001348693,2016,1470024000000,156,1,MORNINGSIDE AVE,HALFWAY AVE,15 m East of,Minor Arterial,Scarborough,25,0,0,42,0,0,43.817847,-79.213687,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Passenger,15 to 19,Major,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes, , , ,132,Malvern (132),1
80566287,6001348693,2016,1470024000000,156,1,MORNINGSIDE AVE,HALFWAY AVE,15 m East of,Minor Arterial,Scarborough,25,0,0,42,0,0,43.817847,-79.213687,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Passenger,15 to 19,Major,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes, , , ,132,Malvern (132),2
80566288,6001348693,2016,1470024000000,156,1,MORNINGSIDE AVE,HALFWAY AVE,15 m East of,Minor Arterial,Scarborough,25,0,0,42,0,0,43.817847,-79.213687,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Passenger,15 to 19,Minimal,0, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes, , , ,132,Malvern (132),3
80942181,7000981173,2017,1496462400000,156,1,EGLINTON AVE W,MIRANDA AVE,25 m East of,Major Arterial,Toronto and East York,809,9,8,13,0,0,43.694552,-79.455058,Intersection,Intersection Related,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,0,South, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,109,Caledonia-Fairbank (109),4
80942182,7000981173,2017,1496462400000,156,1,EGLINTON AVE W,MIRANDA AVE,25 m East of,Major Arterial,Toronto and East York,809,9,8,13,0,0,43.694552,-79.455058,Intersection,Intersection Related,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,Minimal,0,West,Pick Up Truck,Going Ahead,Failed to Yield Right of Way,Had Been Drinking, , , , , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,109,Caledonia-Fairbank (109),5
6124368,1160766,2010,1270267200000,159,1,ALBION Rd,HIGHWAY 27  N, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.744245,-79.60749,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Passenger,5 to 9,Major,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,1,West Humber-Clairville (1),6
6124369,1160766,2010,1270267200000,159,1,ALBION Rd,HIGHWAY 27  N, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.744245,-79.60749,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,Minor,0,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,1,West Humber-Clairville (1),7
6124370,1160766,2010,1270267200000,159,1,ALBION Rd,HIGHWAY 27  N, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.744245,-79.60749,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Passenger,20 to 24,Minimal,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,1,West Humber-Clairville (1),8
6124371,1160766,2010,1270267200000,159,1,ALBION Rd,HIGHWAY 27  N, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.744245,-79.60749,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,1,West Humber-Clairville (1),9
6124372,1160766,2010,1270267200000,159,1,ALBION Rd,HIGHWAY 27  N, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.744245,-79.60749,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,20 to 24,Minimal,0,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,1,West Humber-Clairville (1),10
6124373,1160766,2010,1270267200000,159,1,ALBION Rd,HIGHWAY 27  N, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.744245,-79.60749,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Passenger,25 to 29,None,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,1,West Humber-Clairville (1),11
6124374,1160766,2010,1270267200000,159,1,ALBION Rd,HIGHWAY 27  N, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.744245,-79.60749,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,1,West Humber-Clairville (1),12
6124375,1160766,2010,1270267200000,159,1,ALBION Rd,HIGHWAY 27  N, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.744245,-79.60749,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,Minor,0,West,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08", , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,1,West Humber-Clairville (1),13
