Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
6221413,1202238,2010,1287806400000,232,2,BEVERLEY ST,CECIL ST, ,Minor Arterial,Toronto and East York,11,0,0,52,0,0,43.656545,-79.39499,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,None,0,North,"Automobile, Station Wagon",Going Ahead,Other,"Ability Impaired, Alcohol Over .08", , , , , , ,Yes, ,Yes, , , , , ,Yes,Yes, ,Yes, ,78,Kensington-Chinatown (78),1
6221414,1202238,2010,1287806400000,232,2,BEVERLEY ST,CECIL ST, ,Minor Arterial,Toronto and East York,11,0,0,52,0,0,43.656545,-79.39499,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,0,Unknown,Other, , , ,Vehicle hits the pedestrian walking or running out from between parked vehicles at mid-block,Coming From Behind Parked Vehicle,Normal, , , ,Yes, ,Yes, , , , , ,Yes,Yes, ,Yes, ,78,Kensington-Chinatown (78),2
80207074,4001912926,2014,1397793600000,232,2,DAWES RD,CRESCENT TOWN RD, ,Minor Arterial,Toronto and East York,19,0,0,54,0,0,43.696513,-79.297305,Intersection,Non Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,40 to 44,Major,0,South,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,"Ability Impaired, Alcohol", , , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,61,Taylor-Massey (61),3
5418919,1064349,2008,1219723200000,235,2,CARLAW Aven,LAKE SHORE Boul E, ,Major Arterial,Toronto and East York,14,0,0,55,0,0,43.654945,-79.33739,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,30 to 34,Major,0,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol", , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,70,South Riverdale (70),4
5418920,1064349,2008,1219723200000,235,2,CARLAW Aven,LAKE SHORE Boul E, ,Major Arterial,Toronto and East York,14,0,0,55,0,0,43.654945,-79.33739,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,Major,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,70,South Riverdale (70),5
5418921,1064349,2008,1219723200000,235,2,CARLAW Aven,LAKE SHORE Boul E, ,Major Arterial,Toronto and East York,14,0,0,55,0,0,43.654945,-79.33739,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,70,South Riverdale (70),6
5418922,1064349,2008,1219723200000,235,2,CARLAW Aven,LAKE SHORE Boul E, ,Major Arterial,Toronto and East York,14,0,0,55,0,0,43.654945,-79.33739,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,Major,0,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes,Yes, ,70,South Riverdale (70),7
80205836,4001787575,2014,1396065600000,236,2,455 MILNER AVE, , ,Minor Arterial,Scarborough,23,0,0,42,0,0,43.791693,-79.228359,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,25 to 29,Major,0,East,Delivery Van,Going Ahead,Lost control,"Ability Impaired, Alcohol", , , , , , , , ,Yes, , , , ,Yes, , , ,Yes, ,132,Malvern (132),8
80205837,4001787575,2014,1396065600000,236,2,455 MILNER AVE, , ,Minor Arterial,Scarborough,23,0,0,42,0,0,43.791693,-79.228359,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,0, , , , , , , , , , , , , ,Yes, , , , ,Yes, , , ,Yes, ,132,Malvern (132),9
80782301,7001366288,2017,1501387200000,237,2,DUNDAS ST W,KEELE ST, ,Major Arterial,Toronto and East York,4,0,0,11,0,0,43.665332,-79.464519,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,55 to 59,Minimal,0,North,"Automobile, Station Wagon",Going Ahead,Other,"Ability Impaired, Alcohol Over .08", , , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,90,Junction Area (90),10
