Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
6915779,1266407,2011,1322370000000,0,0,DUNERA Aven,EMCARR Driv, ,Local,Scarborough,24,0,0,43,0,0,43.757145,-79.19569,Intersection,At Intersection,Stop Sign,Rain,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,None,0, ,Other,Other, , , , , , , , , ,Yes,Yes, , , , , , , , , , ,136,West Hill (136),1
6915780,1266407,2011,1322370000000,0,0,DUNERA Aven,EMCARR Driv, ,Local,Scarborough,24,0,0,43,0,0,43.757145,-79.19569,Intersection,At Intersection,Stop Sign,Rain,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,30 to 34,None,0,West,"Automobile, Station Wagon",Going Ahead, , , , , , , , , ,Yes,Yes, , , , , , , , , , ,136,West Hill (136),2
6915781,1266407,2011,1322370000000,0,0,DUNERA Aven,EMCARR Driv, ,Local,Scarborough,24,0,0,43,0,0,43.757145,-79.19569,Intersection,At Intersection,Stop Sign,Rain,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,0,South,Bicycle,Turning Left, , , , , , , , , ,Yes,Yes, , , , , , , , , , ,136,West Hill (136),3
80240055,5000901118,2015,1432958400000,2,0,DUNDAS ST W,EDNA AVE,2 m North of,Minor Arterial,Toronto and East York,4,0,0,11,0,0,43.657214,-79.45267,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,0,West,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Failed to Yield Right of Way,Normal, ,Yes,Yes, , , , , , , , , , ,88,High Park North (88),4
80240056,5000901118,2015,1432958400000,2,0,DUNDAS ST W,EDNA AVE,2 m North of,Minor Arterial,Toronto and East York,4,0,0,11,0,0,43.657214,-79.45267,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,0,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,88,High Park North (88),5
80158381,4001953344,2014,1398398400000,5,0,DUNDAS ST W,GLADSTONE AVE, ,Minor Arterial,Toronto and East York,9,0,0,14,0,0,43.649573,-79.429813,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,Minimal,0,East,"Automobile, Station Wagon",Making U Turn,Improper Turn,Inattentive, , , , , , , ,Yes,Yes, , , , , , , , , , ,84,Little Portugal (84),6
80158382,4001953344,2014,1398398400000,5,0,DUNDAS ST W,GLADSTONE AVE, ,Minor Arterial,Toronto and East York,9,0,0,14,0,0,43.649573,-79.429813,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,0,West,Bicycle,Going Ahead, , , , , ,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,84,Little Portugal (84),7
5865362,1124459,2009,1249876800000,10,0,FINCH Aven E,DON MILLS Road, ,Major Arterial,North York,17,0,0,33,0,0,43.792645,-79.35469,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,47,Don Valley Village (47),8
5865363,1124459,2009,1249876800000,10,0,FINCH Aven E,DON MILLS Road, ,Major Arterial,North York,17,0,0,33,0,0,43.792645,-79.35469,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,47,Don Valley Village (47),9
5865364,1124459,2009,1249876800000,10,0,FINCH Aven E,DON MILLS Road, ,Major Arterial,North York,17,0,0,33,0,0,43.792645,-79.35469,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,North,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking, ,Yes,Yes, , , , , , , , , , ,47,Don Valley Village (47),10
80497074,5000976277,2015,1433995200000,24,0,FINCH AVE W,TOBERMORY DR, ,Major Arterial,Etobicoke York,7,0,0,31,0,0,43.759272,-79.507922,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Cyclist Collisions,Driver,20 to 24,None,0,West,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol", , , , , , , ,Yes,Yes, , , , , ,Yes,Yes, ,Yes, ,25,Glenfield-Jane Heights (25),11
80497075,5000976277,2015,1433995200000,24,0,FINCH AVE W,TOBERMORY DR, ,Major Arterial,Etobicoke York,7,0,0,31,0,0,43.759272,-79.507922,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Cyclist Collisions,Cyclist,40 to 44,Fatal,28,West,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Unknown, ,Yes,Yes, , , , , ,Yes,Yes, ,Yes, ,25,Glenfield-Jane Heights (25),12
80564319,6001211373,2016,1468209600000,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,East,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Other,Had Been Drinking, ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),13
80564320,6001211373,2016,1468209600000,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),14
80564321,6001211373,2016,1468209600000,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,20 to 24,None,0, , , , , , , , , , , , ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),15
80564322,6001211373,2016,1468209600000,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,25 to 29,None,0, , , , , , , , , , , , ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),16
80564323,6001211373,2016,1468209600000,27,0,429 DUNDAS ST E, ,15 m North of,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.659266,-79.366695,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Passenger,20 to 24,Major,0, , , , , , , , , , , , ,Yes,Yes, , , , ,Yes, , , , , ,73,Moss Park (73),17
80632469,6000874773,2016,1463284800000,30,0,DUNDAS ST W,OSSINGTON AVE,40 m East of,Major Arterial,Toronto and East York,1110,10,11,14,0,0,43.649394,-79.420032,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,0,West,"Automobile, Station Wagon",Making U Turn,Improper Turn,Inattentive, , , , , , , ,Yes,Yes, , , , , , , , , , ,81,Trinity-Bellwoods (81),18
80632470,6000874773,2016,1463284800000,30,0,DUNDAS ST W,OSSINGTON AVE,40 m East of,Major Arterial,Toronto and East York,1110,10,11,14,0,0,43.649394,-79.420032,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,East,Bicycle,Going Ahead, , , , , ,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,81,Trinity-Bellwoods (81),19
80198361,3001015663,2013,1385096400000,31,0,HOSKIN AVE,ST GEORGE ST, ,Minor Arterial,Toronto and East York,11,0,0,52,0,0,43.664099,-79.398433,Intersection,Intersection Related,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Unknown, ,Yes,Yes, , , , , , , , , , ,79,University (79),20
80198362,3001015663,2013,1385096400000,31,0,HOSKIN AVE,ST GEORGE ST, ,Minor Arterial,Toronto and East York,11,0,0,52,0,0,43.664099,-79.398433,Intersection,Intersection Related,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown, , , , , , , ,Yes,Yes, , , , , , , , , , ,79,University (79),21
81073531,8001708273,2018,1536984000000,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,Major Arterial,Toronto and East York,9,0,0,"11,14",14,11,43.666419,-79.438152,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,0,North,"Automobile, Station Wagon",Making U Turn,Improper Lane Change,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,93,Dovercourt-Wallace Emerson-Junction (93),22
81073532,8001708273,2018,1536984000000,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,Major Arterial,Toronto and East York,9,0,0,"11,14",14,11,43.666419,-79.438152,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,45 to 49,Major,0,North,Bicycle,Going Ahead, , , , , , ,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,93,Dovercourt-Wallace Emerson-Junction (93),23
81073533,8001708273,2018,1536984000000,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,Major Arterial,Toronto and East York,9,0,0,"11,14",14,11,43.666419,-79.438152,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Minor,0,North,Bicycle,Going Ahead, , , , , , ,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,93,Dovercourt-Wallace Emerson-Junction (93),24
