Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
7377669,1275814,2012,1326344400000,558,5,NEILSON RD,FINCH AVE E, ,Minor Arterial,Scarborough,2325,25,23,42,0,0,43.816245,-79.22759,Intersection, ,Traffic Signal,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,2,West,Other, , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown, , , ,Yes, ,Yes, , , , ,Yes, ,Yes, , , ,132,Malvern (132),1
80000014,131058335,2013,1385701200000,558,5,1491 LAKE SHORE BLVD W, , ,Major Arterial,Toronto and East York,4,0,0,11,0,0,43.637614,-79.447742,Mid-Block, ,No Control,Clear,"Dawn, artificial",Dry,Fatal,SMV Other,Driver,25 to 29,Fatal,58,East,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,85,South Parkdale (85),2
80944448,8001077165,2018,1528948800000,558,5,ST CLAIR AVE E,DANFORTH RD, ,Major Arterial,Scarborough,20,0,0,41,0,0,43.716773,-79.259883,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,55 to 59,Fatal,33,West,Motorcycle,Going Ahead,Driving Properly,Unknown, , , , , , , , ,Yes,Yes, , , , , ,Yes, , , ,120,Clairlea-Birchmount (120),3
6253540,1162012,2010,1271131200000,559,5,STEELES AVE E,BIRCHMOUNT RD, ,Major Arterial,Scarborough,22,0,0,42,0,0,43.821345,-79.31689,Intersection,At Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Passenger,70 to 74,Fatal,16, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes,Yes, ,Yes,116,Steeles (116),4
80501551,4003267619,2014,1415509200000,559,5,KIPLING AVE,WESTHUMBER BLVD, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.728129,-79.574641,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Angle,Passenger,20 to 24,Fatal,40, , , , , , , , , , , , , ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,4,Rexdale-Kipling (4),5
8000170,143339762,2014,1416546000000,600,6,FINCH AVE W,DRIFTWOOD AVE, ,Major Arterial,Etobicoke York,7,0,0,31,0,0,43.758048,-79.513431,Intersection,At Intersection,Traffic Signal,Clear,"Dawn, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,41,North, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown, , , ,Yes, ,Yes, , , , , , , , , , ,25,Glenfield-Jane Heights (25),6
80493406,5002013764,2015,1448341200000,603,6,MCCOWAN RD,KENHATCH BLVD, ,Major Arterial,Scarborough,23,0,0,42,0,0,43.801421,-79.263774,Intersection,At Intersection,Traffic Signal,Snow,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,25 to 29,Fatal,57,Unknown, , , , ,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal, , , ,Yes, ,Yes, , , , , ,Yes,Yes,Yes, , ,129,Agincourt North (129),7
6665360,1249510,2011,1313467200000,606,6,374 BROCK AVE,PUBLIC LANE, ,Laneway,Toronto and East York,9,0,0,11,0,0,43.652745,-79.43739,"Park, Private Property, Public Lane", ,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Driver,55 to 59,Fatal,20,North,"Automobile, Station Wagon",Reversing,Other,Normal, , , , , , , , ,Yes, , , , , , , , , , ,83,Dufferin Grove (83),8
80000029,142120007,2014,1400644800000,610,6,HIGHWAY 27  S,BELFIELD RD, ,Major Arterial,Etobicoke York,1,0,0,23,0,0,43.699229,-79.587123,Intersection, ,Traffic Signal,Clear,Daylight,Dry,Fatal,Rear End,Driver,40 to 44,Fatal,10,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , , , , , , , ,1,West Humber-Clairville (1),9
80489505,5001612624,2015,1442548800000,610,6,QUEEN ST E,HILTZ AVE,5 m West of,Minor Arterial,Toronto and East York,14,0,0,55,0,0,43.664164,-79.326206,Intersection,Non Intersection,No Control,Clear,Dark,Dry,Fatal,Approaching,Motorcycle Driver,35 to 39,Fatal,43,East,Motorcycle,Going Ahead,Lost control,Inattentive, , , , , , , , , ,Yes, ,Yes, , , , , , , ,65,Greenwood-Coxwell (65),10
