Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
7817616,1355791,2013,1368331200000,139,1,QUEEN ST E,EASTERN AVE, ,Major Arterial,Toronto and East York,19,0,0,55,0,0,43.667243,-79.312587,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Vehicle Owner,unknown, ,0, , , , , , , , , , , ,Yes, , , , ,Yes, , , , , , , ,63,The Beaches (63),1
7817617,1355791,2013,1368331200000,139,1,QUEEN ST E,EASTERN AVE, ,Major Arterial,Toronto and East York,19,0,0,55,0,0,43.667243,-79.312587,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,14,Unknown, , , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Other,Unknown, , , ,Yes, , , , ,Yes, , , , , , , ,63,The Beaches (63),2
7817618,1355791,2013,1368331200000,139,1,QUEEN ST E,EASTERN AVE, ,Major Arterial,Toronto and East York,19,0,0,55,0,0,43.667243,-79.312587,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Driver,25 to 29,None,0,East,Street Car,Going Ahead,Driving Properly,Normal, , , , , , ,Yes, , , , ,Yes, , , , , , , ,63,The Beaches (63),3
80929712,8000172626,2018,1517115600000,140,1,BATHURST ST,RIDGE HILL DR, ,Major Arterial,North York,8,0,0,1353,53,13,43.703265,-79.425868,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,0,East, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,"Ability Impaired, Alcohol", , , ,Yes, ,Yes, , , , , , , , , , ,102,Forest Hill North (102),4
80929713,8000172626,2018,1517115600000,140,1,BATHURST ST,RIDGE HILL DR, ,Major Arterial,North York,8,0,0,1353,53,13,43.703265,-79.425868,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,None,0,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , ,Yes, ,Yes, , , , , , , , , , ,102,Forest Hill North (102),5
5444718,1075854,2008,1227416400000,145,1,COLLEGE ST,MARKHAM ST, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.656245,-79.40899,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,None,0,East,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Inattentive, , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,80,Palmerston-Little Italy (80),6
5444719,1075854,2008,1227416400000,145,1,COLLEGE ST,MARKHAM ST, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.656245,-79.40899,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,0,East,Other, , , ,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , ,Yes, ,Yes, , , , , , ,Yes, , , ,80,Palmerston-Little Italy (80),7
7477448,1320584,2012,1350014400000,145,1,EGLINTON AVE W,HENNING AVE, ,Major Arterial,Toronto and East York,812,12,8,53,0,0,43.706245,-79.40069,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,0,Unknown,Other, , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Person Getting on/off School Bus,Had Been Drinking, , , ,Yes, , , , ,Yes, , , , , , , ,100,Yonge-Eglinton (100),8
7477449,1320584,2012,1350014400000,145,1,EGLINTON AVE W,HENNING AVE, ,Major Arterial,Toronto and East York,812,12,8,53,0,0,43.706245,-79.40069,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,0,East,Municipal Transit Bus (TTC),Stopped,Driving Properly,Normal, , , , , , ,Yes, , , , ,Yes, , , , , , , ,100,Yonge-Eglinton (100),9
80499148,6000307200,2016,1456030800000,147,1,THE QUEENSWAY K,KIPLING AVE,81 m West of,Major Arterial,Etobicoke York,3,0,0,22,0,0,43.620642,-79.527904,Mid-Block,At/Near Private Drive,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,0,West,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol", , , , , , ,Yes, ,Yes, , , , , , , , ,Yes, ,14,Islington-City Centre West (14),10
80499149,6000307200,2016,1456030800000,147,1,THE QUEENSWAY K,KIPLING AVE,81 m West of,Major Arterial,Etobicoke York,3,0,0,22,0,0,43.620642,-79.527904,Mid-Block,At/Near Private Drive,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,0,Unknown, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal, , , ,Yes, ,Yes, , , , , , , , ,Yes, ,14,Islington-City Centre West (14),11
80499150,6000307200,2016,1456030800000,147,1,THE QUEENSWAY K,KIPLING AVE,81 m West of,Major Arterial,Etobicoke York,3,0,0,22,0,0,43.620642,-79.527904,Mid-Block,At/Near Private Drive,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,0,Unknown, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal, , , ,Yes, ,Yes, , , , , , , , ,Yes, ,14,Islington-City Centre West (14),12
80945371,8001076637,2018,1528948800000,154,1,ROYAL YORK RD,ALGOMA ST,25 m South of,Minor Arterial,Etobicoke York,3,0,0,22,0,0,43.620661,-79.500247,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,0,South,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal, , , , , , ,Yes, , , , ,Yes, , , , , , , ,17,Mimico (includes Humber Bay Shores) (17),13
80945372,8001076637,2018,1528948800000,154,1,ROYAL YORK RD,ALGOMA ST,25 m South of,Minor Arterial,Etobicoke York,3,0,0,22,0,0,43.620661,-79.500247,Intersection,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,0,Unknown, , , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Other,Had Been Drinking, , , ,Yes, , , , ,Yes, , , , , , , ,17,Mimico (includes Humber Bay Shores) (17),14
6253694,1172906,2010,1276228800000,155,1,WESTON RD,PORTER AVE, ,Major Arterial,Etobicoke York,5,0,0,12,0,0,43.682845,-79.47869,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,0,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal, , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,111,Rockcliffe-Smythe (111),15
