Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
5245961,1107460,2009,1245643200000,0,0,F G GARDINER XY  E,KIPLING AVE, ,Expressway,Etobicoke York,3,0,0,22,0,0,43.618045,-79.52479,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Motorcycle Driver,25 to 29,Major,0,East,Motorcycle,Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes,Yes, , , , ,Yes,Yes, , , ,17,Mimico (includes Humber Bay Shores) (17),1
5245962,1107460,2009,1245643200000,0,0,F G GARDINER XY  E,KIPLING AVE, ,Expressway,Etobicoke York,3,0,0,22,0,0,43.618045,-79.52479,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Driver,40 to 44,None,0,East,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Normal, , , , , , , , ,Yes,Yes, , , , ,Yes,Yes, , , ,17,Mimico (includes Humber Bay Shores) (17),2
7863107,1375311,2013,1379131200000,0,0,POTSDAM RD,WILMONT DR, ,Local,Etobicoke York,7,0,0,31,0,0,43.759463,-79.511226,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Driver,20 to 24,Major,0,East,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Unknown, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,24,Black Creek (24),3
7863108,1375311,2013,1379131200000,0,0,POTSDAM RD,WILMONT DR, ,Local,Etobicoke York,7,0,0,31,0,0,43.759463,-79.511226,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Other,70 to 74,None,0,East,"Automobile, Station Wagon",Parked, , , , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,24,Black Creek (24),4
80792418,7001731321,2017,1506225600000,0,0,YONGE ST,CENTRE AVE,80 m South of,Major Arterial,North York,18,0,0,32,0,0,43.790209,-79.418048,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,0,North,"Automobile, Station Wagon",Going Ahead,Lost control,Inattentive, , , , , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,50,Newtonbrook East (50),5
80792419,7001731321,2017,1506225600000,0,0,YONGE ST,CENTRE AVE,80 m South of,Major Arterial,North York,18,0,0,32,0,0,43.790209,-79.418048,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,0,Unknown, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,50,Newtonbrook East (50),6
80792420,7001731321,2017,1506225600000,0,0,YONGE ST,CENTRE AVE,80 m South of,Major Arterial,North York,18,0,0,32,0,0,43.790209,-79.418048,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,0,Unknown, , , , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,50,Newtonbrook East (50),7
80489774,5001661734,2015,1443240000000,1,0,BURNHAMTHORPE RD,427 C N BURNHAMTHORPE RAMP, ,Expressway,Etobicoke York,2,0,0,22,0,0,43.645896,-79.561664,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Driver,30 to 34,Fatal,47,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol", , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,14,Islington-City Centre West (14),8
80489775,5001661734,2015,1443240000000,1,0,BURNHAMTHORPE RD,427 C N BURNHAMTHORPE RAMP, ,Expressway,Etobicoke York,2,0,0,22,0,0,43.645896,-79.561664,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Driver,20 to 24,Major,0,North,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,14,Islington-City Centre West (14),9
80943288,8000710389,2018,1524283200000,1,0,HIGHWAY 2A  E,LAWSON RD,400 m East of, , ,0,0,0,0,0,0,43.785041,-79.164188,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Passenger,50 to 54,None,0, , , , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, , , ,133,Centennial Scarborough (133),10
